# robots.txt — almadigitaldesigns.com
# Generated by: Taylor (SEO) — Alma Digital Designs
# Last updated: 2026-04-14
#
# PURPOSE: Allow all pages to be crawled except private/internal paths.
# Prospect preview pages are blocked from indexing via meta robots (noindex)
# rather than robots.txt to ensure crawlers can still access them for
# JavaScript rendering (important for OG preview scraping by LinkedIn/Facebook).

User-agent: *

# Allow the full site
Allow: /

# Block admin, API, and internal tooling paths
Disallow: /admin/
Disallow: /api/
Disallow: /_next/
Disallow: /cdn-cgi/

# Block query strings that create duplicate content
Disallow: /*?*sort=
Disallow: /*?*filter=
Disallow: /*?*page=
Disallow: /*?*session=

# NOTE: Prospect preview pages (/preview/*) are NOT blocked here.
# They are set to noindex,nofollow via meta robots in their <head>.
# Blocking via robots.txt would prevent OG scrapers (LinkedIn, Slack, Facebook)
# from reading the Open Graph tags, breaking social sharing previews.

# Crawl delay (optional — conservative setting for shared hosting)
Crawl-delay: 1

# Sitemap location
Sitemap: https://almadigitaldesigns.com/sitemap.xml
